URL,Classification
https://escs.rnu.tn,Université
https://isbm.rnu.tn,Université
https://isajc.rnu.tn,Université
https://ipsi.rnu.tn,Université
https://isetta.rnu.tn,Université
https://isimsf.rnu.tn,Université
https://isteub.rnu.tn,Université
https://essted.rnu.tn,Université
https://isammh.rnu.tn,Université
https://utm.rnu.tn,Université
